	position in rank using contigs	position in rank with raw reads	counts - contigs	counts - raw reads
NCK2	5221	6027	0	21
DDX26B	5221	6027	0	21
ALDH3A2	5221	6027	0	21
RAF1	5221	6027	0	21
BL00983	5221	6027	0	21
LTN1	5221	6027	0	21
TMCC1	5221	6027	0	21
SENX3	5221	6027	0	21
BA_2201	5221	6027	0	21
LRRC19	5221	6027	0	21
BRAP	5221	6027	0	21
PTEN	5221	6027	0	21
YQIW	5221	6027	0	21
DIDO1	5221	6027	0	21
CRNKL1	5221	6027	0	21
RIPK4	5221	6027	0	21
UGT1A10	5221	6027	0	21
ENSA	5221	6027	0	21
EPS15	5221	6027	0	21
GSPE	5221	6027	0	21
HNRNPM	5221	6027	0	21
CARS	5221	6027	0	21
HECA	5221	6027	0	21
KDM3B	5221	6027	0	21
AKAP2	5221	6027	0	21
GNAQ	5221	6027	0	21
NVL	5221	6027	0	21
CREB3	5221	6027	0	21
TAS	5221	6027	0	21
SMC1A	5221	6027	0	21
CPM	5221	6027	0	21
MCP-4	5221	6027	0	21
TTC39B	5221	6027	0	21
R3HCC1L	5221	6027	0	21
ECE1	5221	6027	0	21
RNF130	5221	6027	0	21
SP_1473	5221	6027	0	21
TPRN	5221	6027	0	21
ABCC10	5221	6027	0	21
UBE3B	5221	6027	0	21
B3GNT3	5221	6027	0	21
SIPA1L2	5221	6027	0	21
PSMD13	5221	6027	0	21
DOCK9	5221	6027	0	21
Y0877	5221	6027	0	21
MAPKAP1	5221	6027	0	21
ERP44	5221	6027	0	21
HNRPDL	5221	6027	0	21
MVK	5221	6027	0	21
PKD1	5221	6027	0	21
CYB5B	5221	6027	0	21
TRIM26	5221	6027	0	21
YQJQ	5221	6027	0	21
PFKFB3	5221	6027	0	21
INPP5J	5221	6027	0	21
HDAC1	5221	6027	0	21
KPNA1	5221	6027	0	21
ABL1	5221	6027	0	21
SLC7A9	5221	6027	0	21
KLF5	5221	6027	0	21
LNX1	5221	6027	0	21
ATP6V1D	5221	6027	0	21
GLB1	5221	6027	0	21
TTC1	5221	6027	0	21
FG08463.1	5221	6027	0	21
HNRNPH1	5221	6027	0	21
CCDC9	5221	6027	0	21
CC2D1A	5221	6027	0	21
CP_0904	5221	6027	0	21
YKUL	5221	6027	0	21
GREB	5221	6027	0	21
SH3TC1	5221	6027	0	21
ABHD5	5221	6027	0	21
DYNC1LI1	5221	6027	0	21
IL17RA	5221	6027	0	21
MIDN	5221	6027	0	21
STEAP4	5221	6027	0	21
STRN4	5221	6027	0	21
ARNC	5221	6027	0	21
PIP4K2C	5221	6027	0	21
MTF2	5221	6027	0	21
IOLS	5221	6027	0	21
UBN1	5221	6027	0	21
KIAA0907	5221	6027	0	21
MALC	5221	6027	0	21
DPYSL2	5221	6027	0	21
HIVEP2	5221	6027	0	21
GSPT1	5221	6027	0	21
TNF	5221	6027	0	21
STIM2	5221	6027	0	21
PAAK-2	5221	6027	0	21
PAAJ	5221	6027	0	21
MAP3K4	5221	6027	0	21
SUGT1	5221	6027	0	21
PTPRN2	5221	6027	0	21
USE1	5221	6027	0	21
NRBP1	5221	6027	0	21
MARCH7	5221	6027	0	21
MENG2	5221	6027	0	21
H2AFY	5221	6027	0	21
ZNF654	5221	6027	0	21
PTPRE	5221	6027	0	21
C9ORF64	5221	6027	0	21
SAP30L	5221	6027	0	21
ACAD9	5221	6027	0	21
CHCHD3	5221	6027	0	21
C22ORF28	5221	6027	0	21
ADCK5	5221	6027	0	21
YWKB	5221	6027	0	21
EXOC6	5221	6027	0	21
SF3B2	5221	6027	0	21
KAT7	5221	6027	0	21
UXPB	5221	6027	0	21
RV0647C	5221	6027	0	21
QCRA	5221	6027	0	21
NFUA	5221	6027	0	21
NSF	5221	6180	0	20
CHEA1	5221	6180	0	20
TPP2	5221	6180	0	20
ZMYND11	5221	6180	0	20
SP_0058	5221	6180	0	20
EXOC6B	5221	6180	0	20
N4BP2L2	5221	6180	0	20
VPRBP	5221	6180	0	20
FLNC	5221	6180	0	20
KIF21A	5221	6180	0	20
ZC3H13	5221	6180	0	20
BGLP	5221	6180	0	20
ARAF	5221	6180	0	20
ARHGEF12	5221	6180	0	20
FKBP4	5221	6180	0	20
CLEC16A	5221	6180	0	20
ZFYVE26	5221	6180	0	20
F3	5221	6180	0	20
TAPBPL	5221	6180	0	20
BFRA	5221	6180	0	20
HSP78	5221	6180	0	20
RPS25	5221	6180	0	20
RAP1A	5221	6180	0	20
AGLA	5221	6180	0	20
SEC14L1	5221	6180	0	20
NCAPH2	5221	6180	0	20
YTTB	5221	6180	0	20
CD55	5221	6180	0	20
GLTSCR2	5221	6180	0	20
WAAB	5221	6180	0	20
RNF167	5221	6180	0	20
CCDC6	5221	6180	0	20
STYK1	5221	6180	0	20
FEM1C	5221	6180	0	20
CCZ1	5221	6180	0	20
UBE2L3	5221	6180	0	20
PPFIA1	5221	6180	0	20
NAB1	5221	6180	0	20
ACADS	5221	6180	0	20
ABFT	5221	6180	0	20
DTNBP1	5221	6180	0	20
DDX1	5221	6180	0	20
KDM4C	5221	6180	0	20
MBOAT1	5221	6180	0	20
RDBP	5221	6180	0	20
PREPL	5221	6180	0	20
NAA35	5221	6180	0	20
EIF2B5	5221	6180	0	20
ITPR2	5221	6180	0	20
BBX	5221	6180	0	20
GPRIN3	5221	6180	0	20
ADCY6	5221	6180	0	20
FAA1	5221	6180	0	20
YARS	5221	6180	0	20
EPB41L1	5221	6180	0	20
PNTA	5221	6180	0	20
MLF2	5221	6180	0	20
UQCRC1	5221	6180	0	20
GLNB	5221	6180	0	20
IL17RC	5221	6180	0	20
MANM	5221	6180	0	20
HDEF_1589	5221	6180	0	20
VPS39	5221	6180	0	20
ARHGEF18	5221	6180	0	20
GAN	5221	6180	0	20
USP48	5221	6180	0	20
GALF	5221	6180	0	20
PPHA	5221	6180	0	20
MAPK1	5221	6180	0	20
BPET1040	5221	6180	0	20
SLT	5221	6180	0	20
CSNK1D	5221	6180	0	20
TMEM30B	5221	6180	0	20
SCNN1B	5221	6180	0	20
SLC22A5	5221	6180	0	20
HSPA13	5221	6180	0	20
STK40	5221	6180	0	20
SF3B3	5221	6180	0	20
PRKAB1	5221	6180	0	20
IFIT2	5221	6180	0	20
IFI30	5221	6180	0	20
DUSP10	5221	6180	0	20
APOBEC1	5221	6180	0	20
EPHB3	5221	6180	0	20
TMC6	5221	6180	0	20
YCIC	5221	6180	0	20
PIGT	5221	6180	0	20
SLC38A10	5221	6180	0	20
SENP6	5221	6180	0	20
LIMK2	5221	6180	0	20
HNRNPA1	5221	6180	0	20
CMEB	5221	6180	0	20
RAB3GAP2	5221	6180	0	20
BETT	5221	6180	0	20
STX8	5221	6180	0	20
GALNT12	5221	6180	0	20
RPOH	5221	6180	0	20
CREB3L3	5221	6180	0	20
XIAP	5221	6180	0	20
RFC1	5221	6180	0	20
THCB	5221	6180	0	20
FG04913.1	5221	6180	0	20
DESA	5221	6180	0	20
COBRA1	5221	6180	0	20
YCIK	5221	6180	0	20
ZNF652	5221	6180	0	20
TRA	5221	6180	0	20
SGLY_0546	5221	6312	0	19
SLC12A2	5221	6312	0	19
DLG1	5221	6312	0	19
LTA4H	5221	6312	0	19
CRTQ	5221	6312	0	19
HNRNPA3	5221	6312	0	19
FLD	5221	6312	0	19
PYGB	5221	6312	0	19
NACA	5221	6312	0	19
MDM4	5221	6312	0	19
ACBD5	5221	6312	0	19
ABHD4	5221	6312	0	19
PAN2	5221	6312	0	19
RMND5A	5221	6312	0	19
FABP6	5221	6312	0	19
MELS_0048	5221	6312	0	19
VILL	5221	6312	0	19
ZNF295	5221	6312	0	19
SGLY_0550	5221	6312	0	19
GPD1L	5221	6312	0	19
ATP9B	5221	6312	0	19
SEMA6A	5221	6312	0	19
PTPN12	5221	6312	0	19
TAX1BP3	5221	6312	0	19
ACT5C	5221	6312	0	19
DYM	5221	6312	0	19
UGT2B17	5221	6312	0	19
EML4	5221	6312	0	19
U2AF2	5221	6312	0	19
SCAMP1	5221	6312	0	19
TIMM44	5221	6312	0	19
SDA	5221	6312	0	19
UFL1	5221	6312	0	19
PSMB8	5221	6312	0	19
MPE_A0854	5221	6312	0	19
WAC	5221	6312	0	19
FTSJD2	5221	6312	0	19
STAT1	5221	6312	0	19
STRN	5221	6312	0	19
GGPS1	5221	6312	0	19
EPC2	5221	6312	0	19
MALF2	5221	6312	0	19
NADSYN1	5221	6312	0	19
FAM190B	5221	6312	0	19
SNAP23	5221	6312	0	19
COL4A3BP	5221	6312	0	19
YXKA	5221	6312	0	19
SNX14	5221	6312	0	19
SAR1B	5221	6312	0	19
SCLAV_3826	5221	6312	0	19
PPM1J	5221	6312	0	19
PSMA2	5221	6312	0	19
UBE2J1	5221	6312	0	19
KDM1A	5221	6312	0	19
ETF1	5221	6312	0	19
ITGA7	5221	6312	0	19
DSCR3	5221	6312	0	19
KCH	5221	6312	0	19
OCAR_6683	5221	6312	0	19
MGRN1	5221	6312	0	19
MUL1	5221	6312	0	19
YTEJ	5221	6312	0	19
FOLE2	5221	6312	0	19
EIF4ENIF1	5221	6312	0	19
KIAA2018	5221	6312	0	19
GLTT2	5221	6312	0	19
VSIG10	5221	6312	0	19
ACDH	5221	6312	0	19
NEURL1B	5221	6312	0	19
INTS1	5221	6312	0	19
ST3GAL3	5221	6312	0	19
PRAP1	5221	6312	0	19
NBEAL2	5221	6312	0	19
IRF3	5221	6312	0	19
HID1	5221	6312	0	19
AMPG	5221	6312	0	19
YJHC	5221	6312	0	19
DHRS3	5221	6312	0	19
YOAE	5221	6312	0	19
FRMD8	5221	6312	0	19
GLYR1	5221	6312	0	19
GAL3ST1	5221	6312	0	19
PPRO_0035	5221	6312	0	19
BETB	5221	6312	0	19
CCDC41	5221	6312	0	19
YFGM	5221	6312	0	19
CDAR	5221	6312	0	19
GRHL2	5221	6312	0	19
PLOD1	5221	6312	0	19
FIXX	5221	6312	0	19
FBAA	5221	6312	0	19
PMPCA	5221	6312	0	19
WZC	5221	6312	0	19
YJJU	5221	6312	0	19
GSS	5221	6312	0	19
EIF4G3	5221	6312	0	19
ACND	5221	6312	0	19
HTDX	5221	6312	0	19
EGLN1	5221	6312	0	19
PILH	5221	6312	0	19
PILQ	5221	6312	0	19
YPMQ	5221	6312	0	19
XRE	5221	6312	0	19
FBXO11	5221	6433	0	18
PHF8	5221	6433	0	18
DOCK8	5221	6433	0	18
WDR87	5221	6433	0	18
DNAJC2	5221	6433	0	18
AGLF	5221	6433	0	18
MTDH	5221	6433	0	18
ITPR1	5221	6433	0	18
GFO1	5221	6433	0	18
RENBP	5221	6433	0	18
RPLP2	5221	6433	0	18
IFCA	5221	6433	0	18
SLMO2	5221	6433	0	18
PFOC	5221	6433	0	18
PI4K2B	5221	6433	0	18
STARD7	5221	6433	0	18
FBXL17	5221	6433	0	18
MLLT10	5221	6433	0	18
ZCCHC7	5221	6433	0	18
GCH1	5221	6433	0	18
AP3S1	5221	6433	0	18
PALLD	5221	6433	0	18
MED28	5221	6433	0	18
AMBRA1	5221	6433	0	18
CUL2	5221	6433	0	18
CC2D1B	5221	6433	0	18
ADH1	5221	6433	0	18
GRINA	5221	6433	0	18
CAMSAP2	5221	6433	0	18
DAB2IP	5221	6433	0	18
PSMA1	5221	6433	0	18
GTPBP1	5221	6433	0	18
YHBW	5221	6433	0	18
MICALCL	5221	6433	0	18
MKRN2-AS1	5221	6433	0	18
MBD2	5221	6433	0	18
TIPARP	5221	6433	0	18
ING4	5221	6433	0	18
CLPTM1L	5221	6433	0	18
DCAF8	5221	6433	0	18
BRPF1	5221	6433	0	18
SLC10A5	5221	6433	0	18
TCHH	5221	6433	0	18
S100A13	5221	6433	0	18
YIPF3	5221	6433	0	18
SEC63	5221	6433	0	18
TBL1XR1	5221	6433	0	18
CBX1	5221	6433	0	18
ANKRD52	5221	6433	0	18
HSDS2	5221	6433	0	18
USP38	5221	6433	0	18
RNF13	5221	6433	0	18
TSPAN7	5221	6433	0	18
BCAP31	5221	6433	0	18
CYB5A	5221	6433	0	18
AAMP	5221	6433	0	18
BMP3	5221	6433	0	18
HADHB	5221	6433	0	18
GOT1	5221	6433	0	18
NLRX1	5221	6433	0	18
SLC31A1	5221	6433	0	18
NAH	5221	6433	0	18
ATE1	5221	6433	0	18
PLEKHG6	5221	6433	0	18
FBXO3	5221	6433	0	18
MLX	5221	6433	0	18
YPO4104	5221	6433	0	18
SESTD1	5221	6433	0	18
COG4	5221	6433	0	18
EHD4	5221	6433	0	18
YCLJ	5221	6433	0	18
LCT	5221	6433	0	18
UBE2R2	5221	6433	0	18
KIAA1107	5221	6433	0	18
DSBA	5221	6433	0	18
TEC	5221	6433	0	18
SCLAV_3255	5221	6433	0	18
EIF3B	5221	6433	0	18
FILIP1L	5221	6433	0	18
ZFYVE1	5221	6433	0	18
GPR107	5221	6433	0	18
SMURF2	5221	6433	0	18
TCYB	5221	6433	0	18
SEPHS2	5221	6433	0	18
DUSP11	5221	6433	0	18
TFDP1	5221	6433	0	18
HSD3B1	5221	6433	0	18
SGPP2	5221	6433	0	18
AFF1	5221	6433	0	18
NMNAT1	5221	6433	0	18
NDUFB10	5221	6433	0	18
ST3GAL6	5221	6433	0	18
PANF	5221	6433	0	18
DAPK3	5221	6433	0	18
TBC1D15	5221	6433	0	18
MALX	5221	6433	0	18
ZFP37	5221	6433	0	18
FPR	5221	6433	0	18
ERFK	5221	6433	0	18
PGUG_04783	5221	6433	0	18
CRK	5221	6433	0	18
YPMR	5221	6433	0	18
HSP101	5221	6433	0	18
PUF60	5221	6433	0	18
FABP5	5221	6433	0	18
METTL9	5221	6433	0	18
SNW1	5221	6433	0	18
SPG7	5221	6433	0	18
SLC27A4	5221	6433	0	18
ARR	5221	6433	0	18
TLE3	5221	6433	0	18
LGALS9	5221	6433	0	18
LRP5	5221	6433	0	18
ZNF207	5221	6433	0	18
SMARCD2	5221	6433	0	18
YCEI	5221	6433	0	18
SRP72	5221	6433	0	18
CETN3	5221	6433	0	18
ALAP	5221	6433	0	18
IER5	5221	6433	0	18
USP33	5221	6433	0	18
TOM1L1	5221	6433	0	18
DACET_1463	5221	6433	0	18
WDR81	5221	6433	0	18
USP28	5221	6433	0	18
PNTB	5221	6433	0	18
OA307_2729	5221	6433	0	18
RNGTT	5221	6433	0	18
TNFRSF21	5221	6433	0	18
ZNF236	5221	6433	0	18
PHLDB1	5221	6433	0	18
EPS15L1	5221	6433	0	18
HSPA12A	5221	6433	0	18
ILYOP_1738	5221	6433	0	18
TMEM87A	5221	6433	0	18
CCNDBP1	5221	6433	0	18
RBSA1	5221	6433	0	18
IRS2	5221	6433	0	18
ATG4C	5221	6433	0	18
CYP27A1	5221	6433	0	18
ARHGAP1	5221	6433	0	18
FAM83H	5221	6433	0	18
YLPM1	5221	6433	0	18
FIS1	5221	6433	0	18
AMPD	5221	6433	0	18
MRPA	5221	6433	0	18
MMUP	5221	6433	0	18
OCAR_5815	5221	6433	0	18
DROSHA	5221	6433	0	18
RBM33	5221	6433	0	18
YQGE	5221	6433	0	18
YQHL	5221	6607	0	17
PAPD5	5221	6607	0	17
USP16	5221	6607	0	17
TULP4	5221	6607	0	17
SRRM1	5221	6607	0	17
KIAA0317	5221	6607	0	17
MOB1B	5221	6607	0	17
MED23	5221	6607	0	17
COG1	5221	6607	0	17
LPIN3	5221	6607	0	17
RPS13	5221	6607	0	17
LRCH3	5221	6607	0	17
G6PD	5221	6607	0	17
TP53BP2	5221	6607	0	17
YICL	5221	6607	0	17
CCPG1	5221	6607	0	17
ZMYM5	5221	6607	0	17
SMARCC1	5221	6607	0	17
HBDA	5221	6607	0	17
DKGA1	5221	6607	0	17
ARRB1	5221	6607	0	17
GOLGA7	5221	6607	0	17
SCLAV_1351	5221	6607	0	17
CENPC1	5221	6607	0	17
BCRB	5221	6607	0	17
NEK9	5221	6607	0	17
SRLA	5221	6607	0	17
FTSH10	5221	6607	0	17
HDFR	5221	6607	0	17
SENP2	5221	6607	0	17
DLG3	5221	6607	0	17
C1ORF116	5221	6607	0	17
CYTH2	5221	6607	0	17
XAB2	5221	6607	0	17
RPL36	5221	6607	0	17
PRPF6	5221	6607	0	17
MAN2C1	5221	6607	0	17
PPP2R5D	5221	6607	0	17
BL05391	5221	6607	0	17
GGT1	5221	6607	0	17
SRGAP1	5221	6607	0	17
PDPR	5221	6607	0	17
KPNA4	5221	6607	0	17
NDUFS4	5221	6607	0	17
TYRB	5221	6607	0	17
YY1	5221	6607	0	17
MAP3K9	5221	6607	0	17
WBNF	5221	6607	0	17
AMET_0389	5221	6607	0	17
ABCB4	5221	6607	0	17
FAM188A	5221	6607	0	17
PPRO_2788	5221	6607	0	17
DAES_0324	5221	6607	0	17
CNST	5221	6607	0	17
SLC10A2	5221	6607	0	17
FNIP1	5221	6607	0	17
PDCD6	5221	6607	0	17
PPP1R9B	5221	6607	0	17
TUBB2B	5221	6607	0	17
DLST	5221	6607	0	17
XPO6	5221	6607	0	17
PSMC6	5221	6607	0	17
ATP6V1A	5221	6607	0	17
TEX261	5221	6607	0	17
AER	5221	6607	0	17
SCD	5221	6607	0	17
RIF1	5221	6607	0	17
KCNK1	5221	6607	0	17
MAT2B	5221	6607	0	17
TMEM183A	5221	6607	0	17
DHRS9	5221	6607	0	17
GK5	5221	6607	0	17
BCSB	5221	6607	0	17
MFSD4	5221	6607	0	17
LOLC	5221	6607	0	17
MAP7	5221	6607	0	17
FAM82A2	5221	6607	0	17
RDX	5221	6607	0	17
HRDD	5221	6607	0	17
PI4KB	5221	6607	0	17
JARID2	5221	6607	0	17
GUMB	5221	6607	0	17
PTP	5221	6607	0	17
NUOJ	5221	6607	0	17
CTCF	5221	6607	0	17
TTG2A	5221	6607	0	17
HYPD	5221	6607	0	17
ATG2B	5221	6607	0	17
KDELR1	5221	6607	0	17
GP2	5221	6607	0	17
CLCN7	5221	6607	0	17
TKTA2	5221	6607	0	17
C4ORF3	5221	6607	0	17
ZBP1	5221	6607	0	17
PDZK1IP1	5221	6607	0	17
IRGM	5221	6607	0	17
SF1	5221	6607	0	17
AACS	5221	6607	0	17
HIST2H2AA4	5221	6607	0	17
MAGI1	5221	6607	0	17
FBRS	5221	6607	0	17
ACTL10	5221	6607	0	17
GCNT2	5221	6607	0	17
ASCC2	5221	6607	0	17
EIF1B	5221	6607	0	17
NAHA	5221	6607	0	17
KIAA0494	5221	6607	0	17
BCL2L14	5221	6607	0	17
DYNLT1	5221	6607	0	17
AGGF1	5221	6607	0	17
FAM83G	5221	6607	0	17
ATM	5221	6607	0	17
RHOT2	5221	6607	0	17
PGRMC2	5221	6607	0	17
LGAS_0607	5221	6607	0	17
ACT12	5221	6607	0	17
ZFP36L2	5221	6607	0	17
FAM129B	5221	6607	0	17
STAU1	5221	6607	0	17
ATP11A	5221	6607	0	17
EXOC2	5221	6607	0	17
SSCG_02655	5221	6607	0	17
SP_1825	5221	6607	0	17
ABHD6	5221	6607	0	17
SOX13	5221	6607	0	17
RECB	5221	6607	0	17
LLDP	5221	6607	0	17
MQO	5221	6607	0	17
ASPSCR1	5221	6607	0	17
PSED_6351	5221	6607	0	17
IL6ST	5221	6607	0	17
DSRA	5221	6607	0	17
RBBP7	5221	6607	0	17
LIN7C	5221	6607	0	17
SPOVR	5221	6607	0	17
CJ950C	5221	6607	0	17
CCCB	5221	6607	0	17
RODZ	5221	6607	0	17
YFHP	5221	6607	0	17
CHM	5221	6607	0	17
MSL1	5221	6607	0	17
CFLAR	5221	6769	0	16
SYNCRIP	5221	6769	0	16
WDFY1	5221	6769	0	16
SLC9A1	5221	6769	0	16
ELF1	5221	6769	0	16
TUBA3D	5221	6769	0	16
TBC1D14	5221	6769	0	16
C11ORF30	5221	6769	0	16
RANBP9	5221	6769	0	16
DDX46	5221	6769	0	16
CA9	5221	6769	0	16
RPFG	5221	6769	0	16
HEATR5B	5221	6769	0	16
TFIP11	5221	6769	0	16
ARF4	5221	6769	0	16
KDM6B	5221	6769	0	16
YTJA	5221	6769	0	16
ATP6V1G1	5221	6769	0	16
SQLE	5221	6769	0	16
C14ORF166	5221	6769	0	16
RNF145	5221	6769	0	16
SLC23A2	5221	6769	0	16
GRAMD1B	5221	6769	0	16
RYBP	5221	6769	0	16
SLX4	5221	6769	0	16
PPFIBP2	5221	6769	0	16
SAP18	5221	6769	0	16
ZNF445	5221	6769	0	16
CCT6A	5221	6769	0	16
UBID	5221	6769	0	16
TRAFD1	5221	6769	0	16
C16ORF72	5221	6769	0	16
BTBD7	5221	6769	0	16
CAM	5221	6769	0	16
ALDH1L1	5221	6769	0	16
APH1A	5221	6769	0	16
TESK2	5221	6769	0	16
PSMC4	5221	6769	0	16
HSC70-4	5221	6769	0	16
PSMD4	5221	6769	0	16
TRAF	5221	6769	0	16
SEC23B	5221	6769	0	16
GUMD	5221	6769	0	16
NPM1	5221	6769	0	16
BCOR	5221	6769	0	16
ACTA1	5221	6769	0	16
RAB27B	5221	6769	0	16
ZNF238	5221	6769	0	16
GTF3C2	5221	6769	0	16
CDA	5221	6769	0	16
HRCN	5221	6769	0	16
PEF1	5221	6769	0	16
SUPT16H	5221	6769	0	16
SGAE	5221	6769	0	16
PSBA	5221	6769	0	16
TNRC6B	5221	6769	0	16
DHRS7B	5221	6769	0	16
NIN	5221	6769	0	16
DNM1L	5221	6769	0	16
CCDC12	5221	6769	0	16
POLR2B	5221	6769	0	16
TMSB10	5221	6769	0	16
FDPS	5221	6769	0	16
CSPP1	5221	6769	0	16
UPF2	5221	6769	0	16
ZDHHC17	5221	6769	0	16
FG08610.1	5221	6769	0	16
VRAG	5221	6769	0	16
STK35	5221	6769	0	16
USP4	5221	6769	0	16
FIP1L1	5221	6769	0	16
ACTG2	5221	6769	0	16
RNB	5221	6769	0	16
ECI2	5221	6769	0	16
SACM1L	5221	6769	0	16
BMUL_4296	5221	6769	0	16
GLPO	5221	6769	0	16
KDPB	5221	6769	0	16
TAP1	5221	6769	0	16
DAGA	5221	6769	0	16
PRKX	5221	6769	0	16
HGFAC	5221	6769	0	16
PSMA7	5221	6769	0	16
ATG4D	5221	6769	0	16
GPR110	5221	6769	0	16
PMPCB	5221	6769	0	16
STK11	5221	6769	0	16
UBIG	5221	6769	0	16
YJJH	5221	6769	0	16
BTBD1	5221	6769	0	16
TMED7	5221	6769	0	16
HIST1H1A	5221	6769	0	16
YPIB	5221	6769	0	16
KLC1	5221	6769	0	16
FG08781.1	5221	6769	0	16
PEX5	5221	6769	0	16
ZGPAT	5221	6769	0	16
CDC42EP4	5221	6769	0	16
SCLAV_0685	5221	6769	0	16
YTKL	5221	6769	0	16
SYPL1	5221	6769	0	16
OHR	5221	6769	0	16
TNFAIP1	5221	6769	0	16
LPCAT3	5221	6769	0	16
RNF19A	5221	6769	0	16
NBAS	5221	6769	0	16
KANSL1	5221	6769	0	16
MCFD2	5221	6769	0	16
PGM1	5221	6769	0	16
BMA1265	5221	6769	0	16
FUT2	5221	6769	0	16
RAB1B	5221	6769	0	16
PPHA_0416	5221	6769	0	16
POLB	5221	6769	0	16
CIDEB	5221	6769	0	16
MTMR12	5221	6769	0	16
DDX54	5221	6769	0	16
NAPC	5221	6769	0	16
ALFA	5221	6769	0	16
PARN	5221	6769	0	16
ATXN1	5221	6769	0	16
SPOPL	5221	6769	0	16
CSNK2B	5221	6769	0	16
TRIM34	5221	6769	0	16
GGA1	5221	6769	0	16
MAFF	5221	6769	0	16
R3HDM4	5221	6769	0	16
PDPK1	5221	6769	0	16
GLNK	5221	6769	0	16
HEMH	5221	6769	0	16
ATP6AP1	5221	6769	0	16
RBM42	5221	6769	0	16
PARP3	5221	6769	0	16
PCIF1	5221	6769	0	16
TAOK2	5221	6769	0	16
YCFV	5221	6769	0	16
RND	5221	6769	0	16
JMJD6	5221	6769	0	16
SNAPC3	5221	6769	0	16
FAM178A	5221	6769	0	16
SMC4	5221	6769	0	16
KIAA0355	5221	6769	0	16
BL00122	5221	6769	0	16
PRPC	5221	6769	0	16
CHMP7	5221	6769	0	16
YRBD	5221	6769	0	16
GIGYF2	5221	6769	0	16
YLII	5221	6769	0	16
OTSA	5221	6769	0	16
SBPA	5221	6769	0	16
HDA	5221	6769	0	16
TOMM22	5221	6769	0	16
ATP5J	5221	6950	0	15
ANKRD35	5221	6950	0	15
NAMA	5221	6950	0	15
SUV420H1	5221	6950	0	15
GLDJ	5221	6950	0	15
PAN3	5221	6950	0	15
YVCC	5221	6950	0	15
LYN	5221	6950	0	15
HIPK3	5221	6950	0	15
GADD45A	5221	6950	0	15
UBE3A	5221	6950	0	15
ACAA1	5221	6950	0	15
CHD6	5221	6950	0	15
UGPB1	5221	6950	0	15
LMRD	5221	6950	0	15
TOX4	5221	6950	0	15
N4BP2	5221	6950	0	15
GCOM1	5221	6950	0	15
PON2	5221	6950	0	15
HIATL1	5221	6950	0	15
AGPAT6	5221	6950	0	15
MED15	5221	6950	0	15
ENC_45500	5221	6950	0	15
RUFY1	5221	6950	0	15
PCD	5221	6950	0	15
CCT8	5221	6950	0	15
RPL15	5221	6950	0	15
GLUD1	5221	6950	0	15
EXT1	5221	6950	0	15
KLF3	5221	6950	0	15
GCN1L1	5221	6950	0	15
SED5	5221	6950	0	15
ZNF609	5221	6950	0	15
PLA2G4F	5221	6950	0	15
MVAD	5221	6950	0	15
CUL4B	5221	6950	0	15
FMO5	5221	6950	0	15
DMTF1	5221	6950	0	15
IDH1	5221	6950	0	15
KRT16	5221	6950	0	15
RAB18	5221	6950	0	15
MPG	5221	6950	0	15
ATP5L	5221	6950	0	15
SAMD4B	5221	6950	0	15
SLC35B1	5221	6950	0	15
CPNE1	5221	6950	0	15
IDH3G	5221	6950	0	15
IREB2	5221	6950	0	15
FBXO34	5221	6950	0	15
ZBTB43	5221	6950	0	15
PKP2	5221	6950	0	15
TAF1D	5221	6950	0	15
INTS8	5221	6950	0	15
TENC1	5221	6950	0	15
MYO9A	5221	6950	0	15
PPIL4	5221	6950	0	15
MAPK8IP3	5221	6950	0	15
SMU1	5221	6950	0	15
SLC25A1	5221	6950	0	15
FAM162A	5221	6950	0	15
TM9SF1	5221	6950	0	15
HLYIII	5221	6950	0	15
DNAH5	5221	6950	0	15
HIST2H2AC	5221	6950	0	15
YQIG	5221	6950	0	15
ENPP7	5221	6950	0	15
ABCP-2	5221	6950	0	15
ATP6V1H	5221	6950	0	15
NPC2	5221	6950	0	15
PRKD2	5221	6950	0	15
ASB8	5221	6950	0	15
CELR	5221	6950	0	15
ERN2	5221	6950	0	15
S100A16	5221	6950	0	15
GATAD2A	5221	6950	0	15
YKUJ	5221	6950	0	15
PCGF3	5221	6950	0	15
TRR1	5221	6950	0	15
TNK1	5221	6950	0	15
ALCAM	5221	6950	0	15
COAA	5221	6950	0	15
TRAPPC4	5221	6950	0	15
AMHX	5221	6950	0	15
RECQL5	5221	6950	0	15
NDUFB7	5221	6950	0	15
PHLDA1	5221	6950	0	15
EVI5	5221	6950	0	15
CALCOCO1	5221	6950	0	15
FNLA	5221	6950	0	15
TMED9	5221	6950	0	15
SLC25A39	5221	6950	0	15
TBC1D1	5221	6950	0	15
MOXR2	5221	6950	0	15
AAK1	5221	6950	0	15
DUSC	5221	6950	0	15
HOXA13	5221	6950	0	15
PPARGC1B	5221	6950	0	15
IFI35	5221	6950	0	15
C17ORF85	5221	6950	0	15
IARS2	5221	6950	0	15
UBA2	5221	6950	0	15
RPN1	5221	6950	0	15
MTCH1	5221	6950	0	15
DNTTIP2	5221	6950	0	15
SYNPO	5221	6950	0	15
SIRT7	5221	6950	0	15
YQGF	5221	6950	0	15
YKBA	5221	6950	0	15
TRIOBP	5221	6950	0	15
YKTA	5221	6950	0	15
MEN-1	5221	6950	0	15
ECHS1	5221	6950	0	15
YFGC	5221	6950	0	15
RBM3	5221	6950	0	15
